currency,url
bbqcoin,http://bbqcoin.org/
beatcoin,http://beatcoin.info/
beavercoin,http://beavercoin.org
benjirolls,http://benjirolls.cf/
berncash,http://berncoin.org/
bestchain,http://bestchain.hol.es/
betacoin,https://betacoin.info/
biblepay,https://biblepay.org/
bigboobscoin,https://www.bigboobscoin.info/
bigup,http://bigup.club/
billarycoin,http://billary.rocks/
biobar,http://biobar-crypto.ml/
bipcoin,https://bipcoin.org/
birds,https://www.birdscoin.com/
bismuth,http://bismuth.cz/
bitalphacoin,http://bitalphacoin.com/
bitbar,http://bitbar.co/
bitbase,https://bitbase.io
bitbay,http://bitbay.market/
bitbean,http://www.bitbean.org/
bitcedi,http://bitcedi.online/
bitcentavo,http://bitcentavo.com
bitcloud,https://bit-cloud.info/
bitcoal,http://weusecoal.org/
bitcoin-21,http://www.bitcoin-21.com/
bitcoin-cash,https://www.bitcoincash.org/
bitcoin-planet,http://bitcoin-planet.net/
bitcoin-plus,http://www.bitcoinplus.org
bitcoin-scrypt,http://theotherbitcoin.com
bitcoin,https://bitcoin.org/
bitcoindark,http://bitcoindark.com/
bitcoinfast,http://bitcoinfast.co/
bitcoinz,https://bitcoinz.global/
bitconnect,https://bitconnectcoin.co/
bitcore,http://bitcore.cc/
bitcurrency,https://bitcointalk.org/index.php?topic=1856970.0
bitdeal,https://bitdeal.co.in/
bitfid,https://www.bitfid.com/
bitgem,http://www.bitgem.pw/
bitmark,http://bitmark.io/
bitok,http://bitok.online/
bitquark,http://www.bitquark.info/
bitradio,http://www.bitrad.io/
bitsend,http://www.bitsend.info/
bitshares,https://bitshares.org
bitsoar,http://bitsoar.com/
bitstar,https://www.bitstarcoin.com/
bitswift,http://bitswift.io/
bittokens,http://www.bittoken.pw/
bitvolt,http://bitvolt.co/
bitz,https://bitz.biz/
bitzeny,http://bitzeny.org/
bixc,https://cryptocointalk.com/topic/53487-ann-bixc-bixc-is-an-experimental-new-digital-currency-that-enables-instant-payments-to-anyone/
blackcoin,http://www.blackcoin.co/
blackstar,http://blackstarotc.com/
blakecoin,http://www.blakecoin.org/
blakestar,http://www.blakestar.io/
blazecoin,http://blazeco.in/
blazercoin,http://blazercoin.cf/
blitzcash,http://blitz.cash
blocknet,http://blocknet.co/
blockpool,https://www.blockpool.io/
bluecoin,http://www.bluecoin.io/
bnrtxcoin,http://www.bnrtx.com/
bolivarcoin,http://bolicoin.com/
bongger,http://bongger.com
boostcoin,https://bitcointalk.org/index.php?topic=601965.0
boscoin,https://boscoin.io/
bottlecaps,https://bitcointalk.org/index.php?topic=241445.0
bowscoin,https://bitcointalk.org/index.php?topic=1039949.0
braincoin,https://cryptocointalk.com/topic/46137-braincoin-info-powpossoon
breakout-stake,http://www.breakoutcoin.com/
breakout,http://www.breakoutcoin.com/
briacoin,https://briacoin.com
bridgecoin,https://bridgecoin.org/
britcoin,http://britcoin.xyz/
btctalkcoin,https://bitcointalk.org/index.php?topic=864994.0
bubble,https://bitcointalk.org/index.php?topic=1348538.0
bumbacoin,http://bumbacoin.com/
bunnycoin,http://bunnycoin.org/
burst,http://www.burst-team.us/
buzzcoin,http://www.buzzcoin.info/
bytecent,http://bytecent.com
c-bit,http://c-bit.me/
cabbage,http://www.cabbage.tech
cachecoin,https://www.cachecoin.cc/
cagecoin,http://cagecoin.net
californium,https://bitcointalk.org/index.php?topic=1027613.0
caliphcoin,http://caliphcoin.eu/
campuscoin,https://campuscoin.net/
canada-ecoin,http://www.canadaecoin.ca/
cannabiscoin,http://cannabiscoin.net
cannacoin,http://www.cannacoin.tech/
cannation,http://www.cannationcoin.com/
capricoin,http://capricoin.org/
carboncoin,http://carboncoin.cc
cardano,https://www.cardanohub.org/
cashcoin,https://cashcoin.cash/
cashme,https://bitcointalk.org/index.php?topic=1165889.0
casinocoin,http://casinocoin.org/
catcoin,http://www.catcoins.org/
cbd-crystals,https://bitcointalk.org/index.php?topic=1652851.0
centurion,http://www.centurionlab.org/
chaincoin,http://www.chaincoin.org/
chancoin,https://chancoin.org/
cheapcoin,https://bitcointalk.org/index.php?topic=1932016.0
chesscoin,http://chesscoinpro.com/
chips,https://www.supernet.org/
chncoin,http://chncoin.org/
chronos,http://chronos-coin.com/
clams,http://clamcoin.org/
clinton,http://myclint.us/
cloakcoin,https://www.cloakcoin.com/
clubcoin,http://clubcoin.co/
coinonat,http://www.coinonat.org/
coinonatx,http://coinonatx.com/
colossuscoin-v2,http://colossuscoin.org
colossuscoinxt,https://colossuscoin.org/index.php/colx
comet,https://cometcoin.com/
compcoin,https://compcoin.com/
compucoin,http://compucoin.org/
concoin,http://www.concoin.com/
condensate,http://condensate.co
corgicoin,https://corgicoinproofofstake.wordpress.com/ 
counterparty,http://counterparty.io/
coupecoin,http://www.coupecoin.com/
crave,http://www.craveproject.com
cream,https://creamcoin.com/
creatio,https://xcreatio.com/
creativecoin,https://www.creativechain.org/
credence-coin,http://www.credencepresale.com/
crevacoin,http://www.crevacoin.com/
crown,http://crown.tech/
crtcoin,http://crtcoin.com/
cryptcoin,http://cryptco.org/
crypto,http://tailflick.wix.com/official-crypto
cryptocarbon,https://cryptocarbon.co.uk/
cryptoescudo,http://www.cryptoescudo.org/
cryptojacks,http://cryptojacks.com/
cryptonex,https://cryptonex.org/
cryptonite,http://cryptonite.info
cubits,http://qbt.scificrypto.info/
curecoin,https://curecoin.net/
cybcsec,https://cybcsec.com/
cybercoin,http://www.cybercoin.space/
cycling-coin,https://bitcointalk.org/index.php?topic=1117611.0
cyder,https://bitcointalk.org/index.php?topic=2097594.0
cypher,https://bitcointalk.org/index.php?topic=1006527.0
dappster,https://dlisk.com/
darklisk,https://bitcointalk.org/index.php?topic=1431075.0
darsek,http://ked.scificrypto.info/
das,http://dascryptocash.org/
dash,https://www.dash.org/
dashcoin,NA
dashs,http://dashscrypt.com/
daxxcoin,https://daxxcoin.org/
debitcoin,https://debitcoin.xyz/
decent,https://decent.ch/
decred,https://www.decred.org/
deeponion,https://deeponion.org/
deltacredits,https://bitcointalk.org/index.php?topic=1155319.0
denarius,http://www.denarius.info
desire,http://www.desire-crypto.com/
destiny,https://bitcointalk.org/index.php?topic=1416068.0
deuscoin,http://deuscoin.org/
deutsche-emark,http://deutsche-emark.de/
devcoin,http://devcoin.org
dfscoin,http://dfscoins.com/
diamond,http://bit.diamonds
digibyte,http://www.digibyte.io/
digicube,http://www.freestaking.com
digital-credits,http://dcredits.com/
digital-rupees,https://www.digitalrs.me/
digitalcoin,http://digitalcoin.co
digitalnote,http://digitalnote.org/
digitalprice,http://digitalprice.org/
dimecoin,http://www.dimecoin.rocks/
dinastycoin,http://www.dinastycoin.com/
dnotes,http://dnotescoin.com/
dogecoin,http://dogecoin.com/
dollar-online,http://www.edollar.online/
dollarcoin,https://bitcointalk.org/index.php?topic=1589371.0
donationcoin,http://donationcoin.org/
dopecoin,http://www.dopecoin.com/
dotcoin,https://www.cryptopia.co.nz
doubloon,http://doubloonboat.com/
dpay,https://bitcointalk.org/index.php?topic=1614252.0
draftcoin,https://bitcointalk.org/index.php?topic=2144790.0
dreamcoin,http://dreamcoin.fi/
droxne,http://droxne.net/
dubaicoin,http://dubaicoin.org/
dubstep,https://bitcointalk.org/index.php?topic=1081671.0
dutch-coin,https://www.dutchcoin.net/
dynamic,https://duality.solutions/
e-coin,https://www.ecoinsource.com/
e-dinar-coin,https://edinarcoin.com/
e-gulden,http://www.e-gulden.org
earthcoin,http://getearthcoin.com/
ebittree-coin,https://www.ebittree.com/
ecocoin,http://www.ecocoin.us/
edrcoin,https://edrcoin.com/
eggcoin,https://bitcointalk.org/index.php?topic=1013555.0
ego,https://bitcointalk.org/index.php?topic=1631176.0
einsteinium,https://www.emc2.foundation/
elacoin,http://elc.22web.org/
elastic,https://www.elastic.pw/
elcoin,NA
electra,https://electraproject.org/
electroneum,http://electroneum.com/
elementrem,http://www.elementrem.org/
ellaism,https://ellaism.com/
elysium,https://bitcointalk.org/index.php?topic=1777414.0
embercoin,https://www.embercoin.io/
emercoin,http://emercoin.com/
emoneypower,http://coinmoney.co/
energycoin,https://energycoin.eu/
enigma,http://www.enigmacoin.exnet.su/
environ,https://bitcointalk.org/index.php?topic=1929166
equitrader,http://www.equitrader.co/
eryllium,https://eryllium.com/
espers,http://espers.io/
eternity,http://ent.eternity-group.org/
ethereum-classic,https://ethereumclassic.github.io/
ethereum-dark,https://www.ethereumdark.net/
ethereum,https://www.ethereum.org/
eurocoin,http://eurocoin-euc.com/
europecoin,https://www.europecoin.eu.org
evergreencoin,http://evergreencoin.org/
evil-coin,http://evilcoin.xyz/
evotion,http://evotion.info/
excelcoin,https://www.exceltoken.com/wallet/coin.php?coin_id=6
exclusivecoin,http://exclusivecoin.pw
expanse,http://www.expanse.tech/
factom,http://factom.org/
faircoin,http://fair-coin.org/
falcoin,http://falcoin.info/
fantomcoin,http://fantomcoin.org/
fargocoin,https://fargocoin.org/
fastcoin,http://www.fastcoin.ca/
fazzcoin,http://fazzcoin.org/
feathercoin,http://feathercoin.com
fedoracoin,http://fedoraco.in/
fimkrypto,http://fimk.fi/
fincoin,http://fincoin.co/
firecoin,https://bitcointalk.org/index.php?topic=972809.0
fireflycoin,https://cryptocointalk.com/topic/1450-fireflycoin-ffc-information/
first-bitcoin,http://bitcoincapitalcorp.com/
firstcoin,http://firstcoinproject.com/
flappycoin,https://flappycoins.wordpress.com/
flash,https://flashcoin.io/
flavorcoin,http://www.flavorcoinradio.com/
flaxscript,http://flaxscript.org
florincoin,http://www.florincoin.org/
fluttercoin,http://www.fluttercoin.me/
flycoin,https://bitcointalk.org/index.php?topic=1154550.0
fonziecoin,https://bitcointalk.org/index.php?topic=979296.0
footy-cash,http://footycash.com/
force,https://forcecoin.io/
francs,http://www.francs.paris/
franko,http://frankos.org
frankywillcoin,https://bitcointalk.org/index.php?topic=2218168.0
frazcoin,http://frazcoin.org/
freicoin,http://freico.in
fuelcoin,http://www.fuelcoin.org/
fujicoin,http://www.fujicoin.org/
futcoin,http://fut-coin.com/
fuzzballs,http://www.fyi-koerier.nl/fuzzballs.htm
gaia,http://gaiaplatform.com/
gambit,http://www.gambitcrypto.com
gamebet-coin,https://www.gamebet.gg/
gamecredits,http://gamecredits.com
gameleaguecoin,https://bitcointalk.org/index.php?topic=595779.0
gameunits,http://gameunits.org/
ganjacoin,https://www.ganjacoinpro.com/
gapcoin,http://gapcoin.org
gbcgoldcoin,http://gbcgoldcoin.org/
gcoin,https://gcn.zone
geertcoin,https://bitcointalk.org/index.php?topic=1789401.0
geocoin,http://geocoin.cash/
geysercoin,http://geysercoin.com/
global-tour-coin,http://www.gtccoinclub.com/
globalboost-y,http://globalboost-y.com/
globalcoin,http://www.globalcoin.info/
globaltoken,http://globaltoken.org/
goldblocks,http://goldblocks.eu/
goldcoin,http://www.gldcoin.com
goldmaxcoin,http://gmxcoin.org/
goldpieces,http://goldpieces.net/
goldreserve,http://www.goldreservecoin.com/
golfcoin,https://bitcointalk.org/index.php?topic=1608804.0
golos-gold,https://golos.io/
golos,https://golos.io/
gpu-coin,http://gpucoin.usedgpus.com/
grantcoin,http://www.grantcoin.org/
greencoin,http://www.grcoin.com/
gridcoin,http://www.gridcoin.us/
grimcoin,http://grim.reaper.rocks/
groestlcoin,http://www.groestlcoin.org/
guccionecoin,https://guccionecoin.wordpress.com/
gulden,https://gulden.com/
gulfcoin,https://www.mygulfcoin.com/
guncoin,http://www.guncoin.info/
gxshares,https://gxs.gxb.io/
halcyon,http://halcyon.top/
halloween-coin,https://bitcointalk.org/index.php?topic=1867413.0
happycoin,http://happycointech.org/
harmonycoin,https://bitcointalk.org/index.php?topic=639835
healthywormcoin,http://healthyworm.com/
helleniccoin,http://www.helleniccoin.gr/
hempcoin,http://hempcoin.org/
hexx,https://bitcointalk.org/index.php?topic=1171724.0
hicoin,http://xhicoin.com/
high-gain,https://bitcointalk.org/index.php?topic=2213950
high-voltage,http://www.highvoltagecoin.tech/
hitcoin,http://hitcoininfo.com/
hobonickels,http://hobonickels.info/
hodlcoin,http://hodlcoin.com
honey,http://honeycoin.info
hshare,https://h.cash/
htmlcoin,http://www.htmlcoin.com
huncoin,http://huncoin.org/
huntercoin,http://huntercoin.org/
hush,https://myhush.org/
hyper,http://hypercrypto.com/
hyperstake,http://hyperstake.io/
i0coin,http://izerocoin.org
ibank,https://bitcointalk.org/index.php?topic=1542789.0
icobid,http://icobidplatform.net/
icoin,http://www.icoin.world/
iconic,http://iconicproject.com/
impact,http://impact-coin.com/
impulsecoin,http://www.impulsecoin.io/
incakoin,http://incakoin.info/
india-coin,https://www.indiacoin.club/
infinitecoin,http://www.infiniteco.in
inflationcoin,http://inflationcoin.org/
influxcoin,http://influxcoin.xyz/
innova,http://innovacoin.info/
insanecoin,http://insanecoin.com/
interzone,https://interzone.space/
invisiblecoin,https://bitcointalk.org/index.php?topic=1204574.0
ion,https://ionomy.com/
iota,https://iota.org/
irishcoin,http://irishcoin.org/
islacoin,http://www.islacoin.net/
iticoin,http://iticoin.com/
ixcoin,https://www.ixcoin.net/
jewels,http://jewelsproject.com/
jin-coin,http://jin-coin.info/
jobscoin,http://jobscoin.us/
joincoin,https://bitcointalk.org/index.php?topic=737405.0
joulecoin,http://www.jouleco.in/
karbowanec,http://karbowanec.com/
karmacoin,http://www.givekarma.net/
kashhcoin,http://www.kashhcoin.com/
kayicoin,https://www.xn--kay-lua.net/
kekcoin,http://kekcoin.co/
kibicoin,http://www.kibicoin.org/
kilocoin,http://kilocoin.com/
kingn-coin,http://kingncoin.com/
kittehcoin,https://kittehcoin.info/
kobocoin,http://kobocoin.com
komodo,https://komodoplatform.com/
kronecoin,https://bitcointalk.org/index.php?topic=2068475.0
kucoin-shares,https://www.kucoin.com/
kurrent,http://kurrentproject.com/
kushcoin,https://kushcoin.co
lanacoin,https://lanacoin.com/
landcoin,http://landcoin.co/
lathaan,https://lathaan.com/
lazaruscoin,http://lazaruscoin.com/
leacoin,https://bitcointalk.org/index.php?topic=1006917
leocoin,http://www.leocoin.org/
lepen,https://bitcoingarden.org/forum/index.php?topic=12135.0
letitride,http://www.letitri.de/
leviarcoin,https://leviarcoin.org/
levoplus,http://levoplus.com/
linda,http://lindacoin.com/
linkedcoin,https://www.linkedcoin.com/
linx,https://mylinx.io/
lisk,https://lisk.io/
litebar,http://litebar.co/
litebitcoin,http://www.lbtc.info/
litecoin-plus,http://litecoinplus.co
litecoin-ultra,http://www.litecoinultra.com/
litecoin,https://litecoin.com
litecred,http://litecred.com/
litedoge,http://www.ldoge.tech/
lomocoin,http://www.lomostar.com/
lottocoin,http://lottocoin.org/
luckchain,http://luckchain.org/
luna-coin,https://bitluna.org/
luxcoin,https://www.luxcoin.tech/
lykke,https://lykke.com
machinecoin,http://www.machinecoin.org
macron,https://bitcointalk.org/index.php?topic=1840661.0
magi,http://coinmagi.org/
magnetcoin,https://magnetcoin.net/
magnum,https://www.mgmcoin.org/
mantracoin,https://mantracoin.org/
mao-zedong,https://bitcointalk.org/index.php?topic=1970439.0
marijuanacoin,https://marijuanacoin.net
marscoin,http://marscoin.org/
martexcoin,http://martexcoin.org/
marxcoin,https://www.marxcoin.com/
master-swiscoin,https://www.swisopensource.com/
masternodecoin,http://www.masternodecoin.org/
mavro,http://mavro.org/
maxcoin,https://www.maxcoin.co.uk/
mazacoin,http://www.mazacoin.org/
megacoin,https://www.megacoin.eu/
memetic,https://memetic.ai/
mergecoin,http://www.mergecoin.com/
metal-music-coin,http://metalmusiccoin.pw/
metalcoin,http://www.metalmoshpit.com/
microcoin,http://microcoin.alcurex.info/
milocoin,http://www.milocoin.info/
mincoin,https://www.mincoin.us/
mindcoin,http://www.mindcoin.xyz/
mineum,https://mineum.org/
minexcoin,https://minexcoin.com/
mintcoin,http://www.mintcoinofficial.com
mmxvi,https://bitcointalk.org/index.php?topic=1361482.0
mobilecash,http://www.mbl.cash/
moin,https://discovermoin.com/
mojocoin,https://mojocoin.org/
monacocoin,http://www.monacocoin.net/
monacoin,http://monacoin.org
monero,http://www.monero.cc
moneta,https://bitcointalk.org/index.php?topic=737548.0
monetaryunit,http://www.monetaryunit.org
money,http://moneyfoundation.github.io/moneypage/index.html
moneycoin,http://moneycoin.pw/
mooncoin,http://mooncoin.com/
motocoin,http://motocoin.org/
msd,https://mymsdspace.com/
musicoin,https://www.musicoin.org/
mustangcoin,https://bitcointalk.org/index.php?topic=1609008.0
myriad,http://myriadcoin.org/
namecoin,https://www.namecoin.org/
namocoin,http://namocoin.co.in/
nav-coin,http://www.navcoin.org/
neblio,https://nebl.io/
nem,http://nem.io
neo,https://neo.org/
neoscoin,http://www.neoscoin.com
netbit,https://bitcointalk.org/index.php?topic=1675290.0
netcoin,http://netcoin.io
netko,http://netko.tech/
neuro,http://neurocoin.org/
neutron,http://www.neutroncoin.com/
nevacoin,https://nevacoin.net/
newyorkcoin,http://nycoin.net/
nexus,http://www.nexusearth.com/
noblecoin,https://www.noblemovement.com
nodecoin,https://bitcointalk.org/index.php?topic=1692502.0
nolimitcoin,http://www.nolimitcoin.org/
novacoin,http://novacoin.org
nubits,https://www.nubits.com
nxt,https://nxt.org/
nyancoin,https://www.nyancoin.info/
obsidian,https://obsidianplatform.com
ocow,http://ocow.ga/
octocoin,http://octocoinfoundation.org/
okcash,http://okcash.co
omicron,http://delta.investments/
omni,http://www.omnilayer.org/
onix,http://www.onixcoin.com/
opal,http://www.opal-coin.com
operand,http://www.operand.money/
opescoin,https://bitcointalk.org/index.php?topic=1300008.0
orbitcoin,http://orbitcoin.org/
orlycoin,http://www.orlycoin.com/
osmiumcoin,https://bitcointalk.org/index.php?topic=1201395.0
oxycoin,https://oxycoin.io/
p7coin,https://bitcointalk.org/index.php?topic=1022103.0
paccoin,http://paccoin.net/
pakcoin,http://www.pakcoin.io/
parallelcoin,http://parallelcoin.info/
parkbyte,http://www.parkbyte.com/
particl,http://particl.io/
pascal-coin,http://www.pascalcoin.org/
pascal-lite,https://pascallite.com/
paycoin,http://www.paycoin.co/
paycon,https://paycon.pw/
paypeer,http://www.paypeer.pw/
peacecoin,https://www.blockexperts.com/pec
peepcoin,https://bitcointalk.org/index.php?topic=1628121.0
peercoin,http://www.peercoin.net
peerplays,http://www.peerplays.com/
peoplecoin,https://www.peoplecoin.pw/
pesetacoin,http://pesetacoin.info/
pesobit,http://www.pesobit.net/
petrodollar,http://petrodollar.org/
phoenixcoin,http://phoenixcoin.org/
phore,https://phore.io/
photon,https://bitcointalk.org/index.php?topic=478136.0
picoin,http://picoin.club/
piecoin,http://www.piecoin.info/
piggycoin,http://piggy-coin.com/
pinkcoin,http://getstarted.with.pink/
pinkdog,http://www.pinkdog.party/
pirate-blocks,https://bitcoingarden.org/forum/index.php?topic=15175
pirl,https://pirl.io/
pivx,http://www.pivx.org
pizzacoin,http://pizzacoin.net/
platinumbar,http://platinumbar.io
playercoin,http://www.playercoin.world/
plncoin,http://www.plncoin.org/
pokecoin,https://bitcointalk.org/index.php?topic=1568520.0
ponzicoin,https://bitcointalk.org/index.php?topic=1468142.0
popularcoin,http://popularcoin.org/
posex,https://bitcointalk.org/index.php?topic=1365761.0
postcoin,https://postcoin.top/
posw-coin,https://posw.io/
potcoin,http://www.potcoin.com/
powercoin,http://powercoin.pw/
prcoin,https://prcoin.io/
prime-xi,http://prime-xi.com
primecoin,http://primecoin.io/
primulon,https://www.primulon.com/
printerium,http://printerium.info/
prismchain,https://bitcointalk.org/index.php?topic=1398402.0
prizm,http://en.prizm.club/
procurrency,https://www.procommerce.io/
project-x,https://bitcointalk.org/index.php?topic=1850419.0
protean,http://www.proteania.com/
prototanium,http://prototanium.uno/
psilocybin,https://bitcointalk.org/index.php?topic=1071640.0
pulse,http://pulseproject.pw/
pura,http://www.pura.one/
pure,https://purealt.org/
purevidz,http://purevidz.net/
putincoin,https://putincoin.org
px,https://bitcointalk.org/index.php?topic=1571151
qora,http://qora.org
qtum,https://qtum.org/
quark,http://quark.cc/
quatloo,http://quatloos.org
quazarcoin,http://chainradar.com/qcn/blocks
qubitcoin,https://qubitcoin.cc/
quebecoin,http://quebeco.in
quotient,https://bitcointalk.org/index.php?topic=1766310.0
rabbitcoin,http://rabbitco.in
radium,https://radiumcore.org/
raiblocks,https://raiblocks.net/
ratecoin,https://stakeminers.com/ratecoin/ratecoin.html
rawcoin,https://bitcointalk.org/index.php?topic=737790.0
rcoin,http://www.rcoineu.com/
redcoin,http://redcoin.pw/
reddcoin,http://www.reddcoin.com/
reecoin,http://www.reecoin.io/
regacoin,https://regaco.in/
regalcoin,https://regalcoin.co/
renos,https://renoscoin.com/
revenu,https://revsurfprofit.com/coin/
revolvercoin,http://revolvercoin.org/
rhfcoin,http://rhfcoin.com/
richcoin,http://explorer.richcoin.us/
ride-my-car,http://www.ridemycar.net/
riecoin,http://riecoin.org/
rimbit,http://www.rimbit.com
ripple,https://ripple.com/
rise,https://rise.vision/
ronpaulcoin,http://www.ronpaulcoin.com/
royalcoin,https://bitcointalk.org/index.php?topic=1646562.0
royalties,https://xry.io/
rsgpcoin,http://rsgpcoin.com/
rubies,http://rbies.org/
rublebit,http://rublebit.com/
rubycoin,http://www.rubycoin.org/
runners,https://runners.cash/
rupaya,http://www.rupayacoin.org/
rupee,https://rupeeblockchain.org/
russiacoin,http://www.russiacoin.info/
sacoin,https://www.sacoin.io/
safe-trade-coin,http://safetrade.co.in/
safecoin,NA
sakuracoin,http://sakuracoin.com/
salus,http://saluscoin.info/
sativacoin,https://www.sativacoin.io/
satoshimadness,https://bitcointalk.org/index.php?topic=1154489.0
save-and-gain,http://coinaid.co.uk/
scorecoin,http://scorecoin.site/
secretcoin,https://secretcoin.club/
securecoin,http://securecoin.org/
selfiecoin,https://bitcointalk.org/index.php?topic=977167
sequence,https://duality.solutions
sexcoin,http://www.sexcoin.info/
shacoin,http://www.shacoin2.com/
shadowcash,http://shadowproject.io/
sharkcoin,http://www.sharkcoin.org
shellcoin,http://www.shellcoin.org
shield,https://bitcointalk.org/index.php?topic=681570.0
shift,http://www.shiftnrg.org
shilling,https://digitalshilling.org/
shorty,http://shortycool.site/
siacoin,http://sia.tech/
sibcoin,http://sibcoin.org
sigmacoin,http://www.sigmacoin.org/
signatum,http://signatum.io/
sixeleven,https://bitcointalk.org/index.php?topic=1235629.0
skeincoin,http://www.skeincoin.org/
skycoin,http://skycoin.net/
slevin,https://bitcointalk.org/index.php?topic=1995268
slimcoin,http://www.slimcoin.club/
sling,https://bitcointalk.org/index.php?topic=1032166.0
smartcash,https://smartcash.cc/
smartcoin,http://smartcoin.cc/
smileycoin,http://tutor-web.info
socialcoin,http://soccoin.com/
soilcoin,http://soilcoin.xyz/
sojourn,http://www.sojournbooking.net/
solarcoin,http://solarcoin.org/
solarflarecoin,http://solarflarecoin.us/
solaris,http://solariscoin.com/
songcoin,http://www.songcoin.org
sooncoin,http://www.sooncoin.com/
soulcoin,https://bitcointalk.org/index.php?topic=1455750.0
spacecoin,http://spacecoin.info/
spectrecoin,https://spectreproject.io/
speedcash,http://www.scash.ml/
sphere,https://sphrpay.io/
sportscoin,https://www.thesportscoin.com/
spots,https://bitcointalk.org/index.php?topic=615513.0
spreadcoin,http://www.spreadcoin.info
sprouts,https://sproutscommunity.wordpress.com/
sproutsextreme,https://bitcointalk.org/index.php?topic=1353430.0
stakecoin,https://bitcointalk.org/index.php?topic=907490
starcash-network,http://starcash.co/
startcoin,https://startcoin.org/
stealthcoin,https://www.stealthcoin.com/
steem-dollars,https://steem.io/
steem,https://steem.io/
steps,https://bitcointalk.org/index.php?topic=1173385.0
sterlingcoin,http://sterlingcoin.org/
stratis,http://stratisplatform.com/
stress,https://bitcointalk.org/index.php?topic=1346521.0
stronghands,http://stronghands.github.io/
sumokoin,https://www.sumokoin.org/
supercoin,http://www.the-node.net/
swagbucks,https://bitcointalk.org/index.php?topic=1281316.0
swaptoken,http://trollpayment.com/
swing,https://bitcointalk.org/index.php?topic=1164721.0
swisscoin,https://swisscoin.eu/
sydpak,http://www.sydpak.com/
sync,http://syncfund.com/index.html
syndicate,http://syndicateltd.net/
synergy,http://www.synergycoin.com/
syscoin,http://syscoin.org
t-coin,http://www.trcplatform.com/
tagcoin,http://tagcoin.org/
tagrcoin,http://www.tagrcoin.com/
tajcoin,http://tajcoin.tech/
tao,http://tao.network/
teamup,https://bitcointalk.org/index.php?topic=1642984.0
techshares,http://www.techsharescommunity.com/
tekcoin,http://tekcoin.org/
tellurion,http://www.tellurion.info/
teracoin,http://tera.hosuco.co.kr/
terracoin,http://www.terracoin.info/
terranova,https://bitcointalk.org/index.php?topic=2012527
teslacoin,http://tesla-coin.com/
the-champcoin,http://thechampcoin.com/
the-cypherfunks,http://thecypherfunks.com/
thecreed,http://thecreed.tech/
thegcccoin,https://www.thegcccoin.com/
theresa-may-coin,http://www.theresamaycoin.com/
tigercoin,http://tigercoin.wordpress.com
titcoin,http://www.joy-toilet.com/titcoin/
tittiecoin,http://tittiecoin.com
toacoin,http://www.toacoin.com/
todaycoin,https://bitcointalk.org/index.php?topic=1569405.0
topcoin,http://topcoin.pw/
torcoin,https://bitcointalk.org/index.php?topic=677434.0
transfercoin,http://txproject.io/
trezarcoin,http://trezarcoin.com/
triangles,https://www.triangles.network/
trickycoin,https://bitcointalk.org/index.php?topic=1004692.0
tristar-coin,http://www.tristarcoin.com/
trollcoin,http://trollcoinbase.com
truckcoin,http://truckcoin.net
trumpcoin,http://www.trumpcoin.com
trustplus,http://trustplus.co
turbocoin,http://turboproject.org/
tychocoin,https://tychocoin.com/
